City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
hammerfest,40,NO,1547324400,64,70.66,23.68,33.8,27.51
jamestown,0,AU,1547325225,37,-33.21,138.6,65.32,11.97
chapais,90,CA,1547323200,77,49.78,-74.86,-0.41,9.17
kahului,40,US,1547322960,62,20.89,-156.47,80.06,9.17
taywarah,0,AF,1547325685,49,33.35,64.42,-3.99,1.34
bluff,0,AU,1547325395,78,-23.58,149.07,70.58,7.16
ketchikan,90,US,1547322960,95,55.34,-131.65,42.08,8.05
newcastleton,92,GB,1547322600,100,55.18,-2.81,46.4,20.8
ilebo,32,CD,1547325687,84,-4.33,20.59,77.51,3.69
hobyo,56,SO,1547325687,84,5.35,48.53,75.58,16.89
hilo,1,US,1547322780,71,19.71,-155.08,75.92,6.93
tautira,90,PF,1547325000,74,-17.73,-149.15,82.4,19.46
jaleswar,0,IN,1547325688,96,21.8,87.22,57.08,3.47
avarua,75,CK,1547323200,70,-21.21,-159.78,84.2,5.82
sinnamary,20,GF,1547325533,93,5.38,-52.96,79.54,10.18
langen,90,DE,1547324400,93,53.61,8.6,44.6,19.46
buala,12,SB,1547325689,98,-8.15,159.59,80.39,5.37
russell,0,AR,1547323200,37,-33.01,-68.8,86.0,9.17
ancud,0,CL,1547323200,67,-41.87,-73.83,59.0,8.05
garden city,1,US,1547324100,30,40.73,-73.63,35.96,3.13
nuuk,90,GL,1547322600,92,64.17,-51.74,23.0,10.29
berlevag,88,NO,1547325599,100,70.86,29.09,24.91,2.91
sao miguel do araguaia,48,BR,1547325691,77,-13.28,-50.16,82.1,4.7
qaanaaq,0,GL,1547325224,100,77.48,-69.36,-23.47,8.61
lorengau,76,PG,1547325693,99,-2.02,147.27,83.41,15.66
mae sai,20,MM,1547323200,100,20.44,99.89,66.2,4.7
tarata,0,PE,1547323200,53,-17.47,-70.03,75.2,12.75
fortuna,0,ES,1547323200,70,38.18,-1.13,42.8,5.82
punta arenas,75,CL,1547323200,53,-53.16,-70.91,50.0,39.15
shimanovsk,80,RU,1547325694,81,52.0,127.67,-5.07,2.57
harper,1,US,1547325300,44,30.3,-99.24,58.82,17.22
mayo,90,CA,1547323200,83,63.59,-135.9,-9.41,2.24
butaritari,76,KI,1547325405,100,3.07,172.79,83.32,10.4
nemuro,12,JP,1547325695,100,43.32,145.57,27.88,22.93
puerto ayora,40,EC,1547323200,55,-0.74,-90.35,86.0,17.22
goderich,68,CA,1547325696,81,43.74,-81.71,24.01,7.94
atuona,80,PF,1547325280,100,-9.8,-139.03,78.73,16.44
chumikan,12,RU,1547325696,62,54.72,135.31,-13.3,3.69
matara,88,PE,1547325697,73,-13.74,-72.9,54.52,2.57
tuktoyaktuk,75,CA,1547323200,75,69.44,-133.03,-14.81,10.29
haimen,8,CN,1547325698,100,31.87,121.18,31.12,6.04
mackenzie,90,CA,1547324160,93,55.34,-123.09,35.6,10.29
tasiilaq,75,GL,1547322600,67,65.61,-37.64,17.6,2.24
chokurdakh,80,RU,1547325639,71,70.62,147.9,-23.52,7.16
komsomolskiy,64,RU,1547325699,81,67.55,63.78,5.51,17.67
arraial do cabo,20,BR,1547323200,69,-22.97,-42.02,87.8,16.11
san patricio,36,PY,1547325296,93,-26.98,-56.83,79.27,3.13
bathsheba,40,BB,1547323200,58,13.22,-59.52,82.4,16.11
rocha,68,UY,1547325546,62,-34.48,-54.34,76.57,11.18
natal,75,BR,1547323200,74,-5.81,-35.21,82.4,17.22
correntina,24,BR,1547325701,71,-13.34,-44.63,80.39,3.91
khatanga,48,RU,1547325247,47,71.98,102.47,-28.87,12.19
mataura,92,NZ,1547325287,89,-46.19,168.86,54.79,2.35
lavrentiya,8,RU,1547325678,100,65.58,-170.99,-10.96,25.84
juneau,90,US,1547322960,95,58.3,-134.42,35.06,3.13
hami,76,CN,1547325702,55,42.84,93.51,5.6,3.13
pevek,0,RU,1547325526,64,69.7,170.27,-21.58,4.47
ambilobe,20,MG,1547325703,98,-13.19,49.05,68.96,2.68
rikitea,76,PF,1547325221,100,-23.12,-134.97,78.95,13.98
tateyama,80,JP,1547325703,100,36.66,137.31,28.91,1.34
naushki,68,RU,1547325704,63,50.39,106.11,-9.43,2.91
seoul,0,KR,1547323200,85,37.57,126.98,26.6,2.24
sur,0,OM,1547325705,100,22.57,59.53,70.76,9.73
longyearbyen,20,NO,1547322600,55,78.22,15.63,6.8,18.34
inhambane,36,MZ,1547325706,92,-23.87,35.38,82.91,11.41
yellowknife,90,CA,1547323200,83,62.45,-114.38,-4.01,10.29
cascais,0,PT,1547323200,76,38.7,-9.42,48.2,8.05
mar del plata,12,AR,1547325525,29,-46.43,-67.52,69.91,13.98
meulaboh,0,ID,1547325707,100,4.14,96.13,77.56,3.58
saint george,75,GR,1547322600,70,39.45,22.34,37.4,2.35
szczytno,90,PL,1547325000,97,53.57,20.99,32.0,5.82
batagay-alyta,24,RU,1547325708,54,67.8,130.41,-32.92,4.59
carbonia,40,IT,1547324400,75,39.17,8.53,44.6,9.17
sengiley,90,RU,1547323200,92,53.96,48.79,19.4,6.71
lagoa,0,PT,1547323200,62,37.14,-8.45,51.8,9.17
lebu,0,ET,1547319600,24,8.96,38.73,55.4,3.36
yumen,8,CN,1547325710,46,40.29,97.04,-5.11,3.58
poya,48,NC,1547325710,100,-21.35,165.16,76.39,13.65
ilulissat,75,GL,1547322600,48,69.22,-51.1,-5.81,10.29
codrington,40,AU,1547323200,93,-28.95,153.24,66.2,3.58
mettingen,75,DE,1547324400,93,48.75,9.28,35.6,13.87
esperance,20,TT,1547323200,54,10.24,-61.45,84.2,14.99
sao filipe,0,CV,1547325466,96,14.9,-24.5,72.43,9.95
katsuura,20,JP,1547323200,86,33.93,134.5,37.4,5.82
airai,32,TL,1547325413,87,-8.93,125.41,68.78,1.9
sechura,0,PE,1547325713,60,-5.56,-80.82,81.61,17.67
ottawa,20,CA,1547323200,50,45.42,-75.69,10.4,9.17
gamba,0,CN,1547325713,48,28.28,88.52,-6.46,7.38
brora,75,GB,1547324400,87,58.01,-3.85,50.0,18.34
port elizabeth,75,US,1547322960,30,39.31,-74.98,35.06,4.7
sola,75,NO,1547324400,87,58.89,5.65,44.6,16.11
moses lake,1,US,1547322780,79,47.13,-119.28,39.02,6.93
bethel,90,US,1547323500,83,60.79,-161.76,-11.03,12.75
bredasdorp,0,ZA,1547323200,43,-34.53,20.04,69.8,10.29
ribeira grande,20,PT,1547323200,77,38.52,-28.7,60.8,20.8
hirado,76,JP,1547325716,100,33.32,129.49,52.85,20.02
tyup,48,KG,1547325716,97,42.73,78.36,2.18,1.57
mehamn,88,NO,1547325717,90,71.03,27.85,31.66,13.98
fairbanks,36,US,1547323380,72,64.84,-147.72,-34.61,4.36
stankov,90,CZ,1547324340,93,49.55,13.07,35.6,9.17
port alfred,0,ZA,1547325458,90,-33.59,26.89,68.38,3.24
hovd,75,NO,1547324400,100,63.83,10.7,33.8,10.29
faya,0,SA,1547323200,67,18.39,42.45,59.0,3.02
provideniya,12,RU,1547325464,100,64.42,-173.23,-12.49,17.67
guerrero negro,44,MX,1547325721,72,27.97,-114.04,64.87,5.93
pecos,1,US,1547324100,40,31.42,-103.49,55.58,10.29
rockport,1,US,1547326500,62,28.02,-97.05,74.48,9.17
plaisance-du-touch,90,FR,1547323200,75,43.57,1.3,44.6,10.29
grindavik,75,IS,1547325000,100,63.84,-22.43,33.8,5.82
sungaipenuh,36,ID,1547325723,97,-2.08,101.38,64.64,1.12
aksu,0,KZ,1547323200,83,52.04,76.93,-5.81,6.71
wittstock,92,DE,1547325724,97,53.37,13.69,40.7,18.01
camaqua,100,BR,1547325676,87,-30.85,-51.81,75.44,15.1
gimli,76,CA,1547325428,95,50.63,-96.99,18.07,7.05
vostok,0,RU,1547325708,41,46.45,135.83,-14.07,2.13
anadyr,0,RU,1547323200,68,64.73,177.51,-14.81,8.95
tilichiki,0,RU,1547325342,61,60.47,166.1,-13.17,2.91
riyadh,0,SA,1547323200,26,24.63,46.72,57.2,3.36
tarabuco,92,BO,1547325727,79,-19.18,-64.92,60.46,3.47
ayia galini,75,GR,1547324400,87,35.1,24.68,53.6,17.22
byron bay,92,AU,1547323200,100,-28.65,153.62,69.8,5.7
yeppoon,56,AU,1547323200,78,-23.13,150.74,71.6,5.82
cairns,24,AU,1547323200,83,-16.92,145.77,75.2,9.17
ostrovnoy,88,RU,1547325713,95,68.05,39.51,20.0,7.61
havre-saint-pierre,90,CA,1547323200,79,50.23,-63.6,24.8,6.93
moi,56,NO,1547325731,100,58.46,6.55,42.91,14.99
peace river,90,CA,1547323200,86,56.23,-117.29,26.6,4.7
sitka,68,US,1547325524,89,37.17,-99.65,36.16,16.55
mingshui,92,CN,1547325731,99,22.81,109.89,55.46,3.24
cienaga,20,CO,1547323200,58,11.01,-74.25,87.8,5.7
doftana,0,RO,1547323200,92,45.14,25.78,15.8,4.7
abancay,48,PE,1547325732,78,-13.64,-72.88,51.05,2.24
neiafu,20,TO,1547323200,69,-18.65,-173.98,82.4,11.41
senno,0,RU,1547323200,92,57.76,27.95,23.0,4.47
anchorage,90,US,1547323080,84,61.22,-149.89,6.08,9.17
los llanos de aridane,0,ES,1547323200,63,28.66,-17.92,62.6,5.82
vila velha,20,BR,1547323200,78,-3.71,-38.6,82.4,6.93
lima,75,PE,1547323200,78,-12.06,-77.04,77.0,21.92
pallasovka,20,RU,1547325459,88,50.04,46.89,19.96,11.41
qinhuangdao,0,CN,1547325735,59,39.94,119.59,5.02,2.46
kita,75,JP,1547323200,70,35.76,139.74,42.8,11.41
saskylakh,0,RU,1547325525,0,71.97,114.09,-54.75,4.14
talnakh,44,RU,1547325301,90,69.49,88.39,-40.8,8.61
tuy hoa,92,VN,1547325737,97,13.08,109.3,72.83,9.84
eureka,1,US,1547322900,60,40.8,-124.16,62.96,6.93
plettenberg bay,0,ZA,1547325737,100,-34.05,23.37,65.09,7.16
ahipara,8,NZ,1547325738,70,-35.17,173.16,71.89,5.03
paris,90,FR,1547323200,87,48.86,2.35,48.2,8.05
victoria,75,BN,1547323200,88,5.28,115.24,80.6,3.36
pacific grove,75,US,1547324100,68,36.62,-121.92,60.8,4.7
maposeni,80,TZ,1547325740,92,-10.58,35.4,68.6,2.68
alice springs,0,AU,1547323200,38,-23.7,133.88,75.2,4.7
ust-tsilma,68,RU,1547325740,71,65.44,52.15,17.48,8.95
saldanha,0,PT,1547325580,86,41.42,-6.55,25.54,3.47
soni,32,TZ,1547325741,88,-4.85,38.37,66.8,2.24
tokur,36,RU,1547325741,47,53.13,132.9,-17.44,2.13
la ronge,90,CA,1547323200,72,55.1,-105.3,17.6,5.82
kapaa,90,US,1547323380,73,22.08,-159.32,77.0,5.82
casma,0,PE,1547325743,93,-9.47,-78.3,74.9,16.55
honningsvag,76,NO,1547325743,100,70.98,25.97,32.51,18.68
luderitz,36,NA,1547325675,93,-26.65,15.16,61.81,5.59
aksarka,64,RU,1547325744,77,66.56,67.8,4.84,17.78
san carlos de bariloche,40,AR,1547323200,54,-41.13,-71.31,59.0,24.16
zeya,64,RU,1547325744,65,53.74,127.27,-9.43,2.57
east london,0,ZA,1547325598,99,-33.02,27.91,73.1,17.67
america dourada,0,BR,1547325745,41,-11.46,-41.44,82.91,8.28
nouadhibou,0,MR,1547325746,63,20.93,-17.03,65.14,6.82
loharu,12,IN,1547325746,80,28.43,75.81,48.58,4.59
erenhot,0,CN,1547325747,53,43.65,111.97,-6.42,4.7
agadez,32,NE,1547325747,48,16.97,7.99,63.29,7.72
tabou,0,CI,1547325747,99,4.42,-7.36,82.87,8.16
sao pedro do piaui,76,BR,1547325747,81,-5.93,-42.72,79.99,3.02
santa ines,75,EC,1547323200,52,-0.82,-78.63,68.0,16.11
bitung,40,ID,1547323200,100,1.44,125.19,75.2,1.12
upernavik,20,GL,1547325693,100,72.79,-56.15,-5.34,11.41
melendugno,0,IT,1547324400,49,40.27,18.34,48.2,14.99
praia da vitoria,40,PT,1547323200,82,38.73,-27.07,60.8,23.38
coahuayana,0,MX,1547325751,41,18.62,-100.35,81.29,3.13
san cristobal,40,EC,1547323200,52,-0.39,-78.55,69.8,18.34
heiligenhafen,92,DE,1547325752,91,54.37,10.98,41.83,25.28
naze,8,NG,1547323200,78,5.43,7.07,82.4,10.29
semme,90,FR,1547323200,93,46.2,1.5,39.2,8.05
kloulklubed,90,PW,1547322600,94,7.04,134.26,77.0,9.17
patawag,12,PH,1547325753,100,8.11,122.62,80.26,22.26
petropavlovsk-kamchatskiy,88,RU,1547323200,85,53.05,158.65,32.0,2.24
bima,8,ID,1547325754,100,-8.45,118.73,74.14,2.57
mandalgovi,12,MN,1547325754,54,45.76,106.27,-7.95,4.59
cabo san lucas,5,MX,1547322240,64,22.89,-109.91,78.8,3.36
souillac,90,FR,1547323200,93,45.6,-0.6,42.8,6.93
patu,76,BR,1547325755,61,-6.1,-37.64,83.32,3.58
kavieng,48,PG,1547325404,100,-2.57,150.8,81.29,10.4
lamesa,1,US,1547322900,48,32.74,-101.95,50.36,11.41
nakhon si thammarat,92,TH,1547325756,100,8.43,99.96,77.74,3.69
luebo,76,CD,1547325757,100,-5.35,21.42,69.46,2.13
viedma,76,AR,1547325758,30,-40.81,-62.99,79.94,7.94
bambous virieux,40,MU,1547323200,78,-20.34,57.76,80.6,13.87
salalah,0,OM,1547322600,27,17.01,54.1,77.0,5.82
santa isabel do rio negro,12,BR,1547325758,45,-0.41,-65.02,93.22,9.62
port-gentil,40,GA,1547323200,88,-0.72,8.78,80.6,6.93
deer lake,90,CA,1547323200,67,49.18,-57.43,19.4,8.05
nioro,76,GM,1547325760,45,13.79,-15.05,75.44,5.82
wilmington,1,US,1547324100,73,39.75,-75.55,33.98,3.36
rawson,88,AR,1547325760,27,-43.3,-65.11,76.57,12.08
constitucion,5,MX,1547322240,25,23.99,-104.67,62.6,4.7
mayna,0,RU,1547325761,61,53.0,91.49,2.77,3.8
tynda,20,RU,1547325762,71,55.15,124.74,-17.4,2.57
richards bay,8,ZA,1547325763,92,-28.77,32.06,69.14,2.91
san,0,ML,1547325763,30,13.3,-4.9,71.89,8.72
mandali,76,IQ,1547325503,81,33.75,45.55,39.8,4.36
kalinagar,48,IN,1547325764,86,28.62,80.08,49.48,3.36
ebolowa,68,CM,1547325764,81,2.92,11.15,74.23,3.69
coro,12,VE,1547325764,69,11.41,-69.67,81.38,9.28
husavik,76,CA,1547325764,95,50.56,-96.99,18.07,7.05
ciudad bolivar,36,VE,1547325656,46,8.12,-63.55,88.72,13.76
sidi ali,0,DZ,1547325738,88,36.1,0.42,33.46,2.57
palmer,20,AU,1547323200,63,-34.85,139.16,60.8,12.75
thinadhoo,76,MV,1547325766,100,0.53,72.93,82.33,8.28
sunndalsora,92,NO,1547324400,79,62.68,8.55,32.0,6.93
hambantota,92,LK,1547325742,100,6.12,81.12,78.14,11.18
flinders,12,AU,1547325714,81,-34.58,150.85,69.59,6.49
pokhara,0,NP,1547325767,65,28.21,83.99,34.27,3.36
port hardy,90,CA,1547323200,76,50.7,-127.42,48.2,19.46
christchurch,8,NZ,1547323200,72,-43.53,172.64,66.2,10.29
cap malheureux,40,MU,1547323200,78,-19.98,57.61,80.6,13.87
pangkalanbuun,24,ID,1547325679,97,-2.68,111.62,74.59,2.57
verkhnevilyuysk,48,RU,1547325768,66,63.45,120.31,-14.47,6.15
ilam,75,IR,1547323200,44,33.64,46.42,41.0,4.7
caravelas,12,BR,1547325583,100,-17.73,-39.27,80.89,11.63
kizema,80,RU,1547325769,88,61.11,44.83,15.28,15.21
nador,0,MA,1547323200,53,35.17,-2.93,51.8,3.36
derzhavinsk,76,KZ,1547325771,82,51.1,66.31,9.52,12.75
hofn,92,IS,1547325734,100,64.25,-15.21,36.34,10.29
chuy,92,UY,1547325531,89,-33.69,-53.46,70.27,14.65
qaqortoq,75,GL,1547322600,91,60.72,-46.03,32.0,3.36
celestun,0,MX,1547325772,98,20.87,-90.4,74.86,7.72
verkhoyansk,8,RU,1547325772,0,67.55,133.39,-51.64,2.57
san quintin,0,PH,1547325772,82,17.54,120.52,61.58,2.57
lillooet,1,CA,1547323200,72,50.69,-121.94,35.6,2.24
mahon,75,IE,1547325000,93,51.89,-8.4,48.2,11.41
hornbaek,92,DK,1547324400,100,56.09,12.45,41.0,8.05
morehead,75,US,1547324100,80,38.18,-83.43,35.06,8.05
morki,76,RU,1547325774,88,56.43,49.0,11.23,4.7
narsaq,75,GL,1547322600,90,60.91,-46.05,32.0,3.36
moranbah,0,AU,1547325774,84,-22.0,148.04,69.64,9.51
karratha,0,AU,1547325775,62,-20.74,116.85,72.34,3.36
kadipaten,76,ID,1547325775,100,-6.76,108.17,71.84,2.68
varhaug,75,NO,1547324400,87,58.61,5.65,44.6,14.99
zharkent,8,KZ,1547325776,29,44.17,80.0,-10.2,2.35
lakes entrance,20,AU,1547325776,93,-37.88,147.99,65.18,3.8
cayenne,40,GF,1547323200,69,4.94,-52.33,82.4,12.75
biak,56,ID,1547325777,100,-0.91,122.88,77.02,1.79
ningxiang,90,CN,1547323200,100,28.28,112.55,39.2,6.71
bakel,92,SN,1547325778,22,14.9,-12.46,78.86,10.74
vardo,90,US,1547324400,45,39.62,-77.74,35.6,8.05
poum,0,MK,1547325778,68,41.28,20.71,2.45,1.23
kodiak,90,US,1547324040,92,39.95,-94.76,32.0,13.87
situbondo,80,ID,1547325778,100,-7.71,114.01,73.69,2.57
mandi,92,IN,1547325779,100,31.71,76.93,38.9,1.68
itarema,68,BR,1547325779,93,-2.92,-39.92,77.02,4.59
vanavara,20,RU,1547325779,53,60.35,102.28,-18.88,4.14
ondjiva,0,AO,1547325780,21,-17.07,15.73,81.29,15.99
ghiror,0,IN,1547325780,88,27.18,78.8,49.93,4.14
pespire,40,HN,1547323200,42,13.59,-87.36,95.0,6.93
finnsnes,90,NO,1547324400,92,69.23,17.98,28.4,21.92
maniitsoq,36,GL,1547325586,100,65.42,-52.9,6.73,6.49
nouakchott,0,MR,1547323200,6,18.08,-15.98,73.4,6.93
nome,40,US,1547324100,48,30.04,-94.42,71.96,12.75
oildale,20,US,1547324100,44,35.42,-119.02,64.04,9.17
mogadishu,32,SO,1547325782,100,2.04,45.34,79.13,22.7
coihaique,20,CL,1547323200,44,-45.58,-72.07,59.0,12.75
sibu,75,MY,1547323200,100,2.29,111.83,75.2,2.24
gold coast,75,AU,1547323200,88,-28.0,153.41,69.8,3.36
sanmenxia,8,CN,1547325783,70,34.77,111.19,12.26,1.79
strezhevoy,40,RU,1547323200,76,60.73,77.6,-5.81,11.18
rafai,12,CF,1547325784,80,4.95,23.92,70.99,1.68
laramie,90,US,1547323080,87,41.31,-105.59,36.5,3.36
jinxiang,0,CN,1547325785,71,35.07,116.31,21.76,2.91
kaeo,0,NZ,1547325785,55,-35.1,173.78,72.38,4.36
lompoc,75,US,1547324100,72,34.64,-120.46,60.98,10.29
kidal,76,ML,1547325785,15,18.44,1.41,61.04,10.74
grafton,40,AU,1547323200,100,-29.69,152.93,64.4,3.36
manokwari,56,ID,1547325786,100,-0.87,134.08,77.56,4.59
lookan,44,PH,1547325786,100,5.04,120.1,82.01,10.4
bubaque,12,GW,1547325787,97,11.28,-15.83,80.03,9.73
yar-sale,80,RU,1547325772,88,66.83,70.83,4.43,21.03
upington,0,ZA,1547325787,23,-28.46,21.24,70.76,9.17
saint paul,90,US,1547325300,65,44.95,-93.1,32.0,6.93
acapulco,5,MX,1547322480,66,16.86,-99.88,84.2,12.75
dingle,56,PH,1547325789,94,11.0,122.67,74.59,12.19
jalu,0,LY,1547325704,55,29.03,21.55,51.64,15.21
igarka,76,RU,1547325790,62,67.47,86.57,-33.87,21.03
pravdinsk,90,RU,1547323200,93,54.45,21.01,33.8,8.95
korhogo,44,CI,1547325790,39,9.46,-5.63,76.57,5.7
rio gallegos,36,AR,1547325627,69,-51.62,-69.22,55.06,32.32
ostersund,48,SE,1547324400,100,63.18,14.64,26.6,5.82
samarai,56,PG,1547325791,100,-10.62,150.67,80.44,10.96
nueve de julio,0,AR,1547325791,29,-31.67,-68.39,86.38,5.37
kenai,90,US,1547322960,72,60.55,-151.26,6.08,10.29
bereda,75,ES,1547323200,71,43.27,-7.54,50.0,6.93
kysyl-syr,36,RU,1547325793,60,63.9,122.77,-20.68,6.71
thompson,90,CA,1547323200,78,55.74,-97.86,10.4,12.75
ust-shonosha,80,RU,1547325793,94,61.15,41.34,24.46,10.4
kukes,0,AL,1547325794,73,42.08,20.42,-1.74,1.9
carnarvon,0,ZA,1547325578,54,-30.97,22.13,63.29,12.3
bone,88,ID,1547325794,99,-10.32,123.57,81.16,5.14
gouyave,20,GD,1547323200,65,12.16,-61.73,82.4,14.99
sabang,80,PH,1547325795,95,13.72,123.58,76.88,12.64
yulara,0,AU,1547323200,23,-25.24,130.99,86.0,9.17
kangaba,0,ML,1547325796,31,11.94,-8.41,76.48,9.73
atambua,20,ID,1547325797,100,-9.11,124.89,78.64,3.24
kailua,40,US,1547323020,78,21.39,-157.74,78.98,4.7
norman wells,20,CA,1547323200,66,65.28,-126.83,-31.01,4.7
maxixe,36,MZ,1547325798,92,-23.86,35.35,82.91,11.41
kawambwa,64,ZM,1547325798,100,-9.8,29.07,68.02,3.69
buin,20,CL,1547323200,34,-33.73,-70.74,80.6,11.41
tiksi,44,RU,1547325237,40,71.64,128.87,-26.04,8.39
nushki,0,PK,1547325799,76,29.55,66.02,29.23,2.35
kalmunai,88,LK,1547325800,100,7.42,81.82,72.52,5.26
pisco,0,PE,1547323200,30,-13.71,-76.2,71.6,27.51
senneterre,90,CA,1547323200,91,48.39,-77.24,-2.21,5.82
okitipupa,12,NG,1547325801,68,6.5,4.78,81.83,4.92
thohoyandou,8,ZA,1547325801,62,-22.97,30.46,80.03,7.72
santa helena de goias,32,BR,1547325801,72,-17.81,-50.6,85.25,4.81
santa marta,20,CO,1547323200,58,11.24,-74.21,87.8,25.72
mount gambier,0,AU,1547323200,87,-37.83,140.78,53.6,8.05
clermont,0,AU,1547325803,77,-22.82,147.64,70.49,8.28
hasaki,90,JP,1547323200,80,35.73,140.83,39.2,8.05
kruisfontein,0,ZA,1547325524,90,-34.0,24.73,63.38,7.49
abu zabad,0,SD,1547325706,54,12.35,29.25,66.04,7.72
prince rupert,90,CA,1547323200,100,54.32,-130.32,42.8,2.24
olinda,75,EC,1547323200,70,-2.03,-79.75,84.2,5.82
dudinka,76,RU,1547325805,48,69.41,86.18,-29.41,24.16
sorong,64,ID,1547325522,100,-0.86,131.25,80.21,7.72
zhangjiakou,0,CN,1547325805,72,40.77,114.88,6.37,5.59
college,36,US,1547323380,72,64.86,-147.8,-34.61,4.36
lalmohan,0,BD,1547325806,91,22.34,90.74,60.82,8.61
abu dhabi,0,AE,1547323200,68,24.47,54.37,68.0,2.24
bonthe,0,SL,1547325806,75,7.53,-12.5,81.83,6.38
sao raimundo das mangabeiras,56,BR,1547325807,67,-7.02,-45.48,83.99,5.26
venice,40,US,1547324100,57,27.1,-82.45,78.08,9.17
ponoka,75,CA,1547323200,79,52.68,-113.59,26.6,2.91
klaksvik,92,FO,1547324400,100,62.23,-6.59,42.8,1.12
trofors,90,NO,1547324400,92,65.54,13.39,30.2,1.12
jinchang,0,CN,1547325809,60,38.52,102.19,0.11,2.35
lata,92,IN,1547325809,100,30.78,78.62,32.69,1.57
baiyin,0,CN,1547323200,60,36.55,104.13,10.4,6.71
torzhok,68,RU,1547325810,88,57.04,34.97,23.47,6.71
mahebourg,40,MU,1547323200,78,-20.41,57.7,80.6,13.87
chicama,75,PE,1547323200,78,-7.84,-79.15,77.0,12.75
pala,20,IN,1547323200,78,9.71,76.68,75.2,2.24
taoudenni,0,ML,1547325811,30,22.68,-3.98,54.74,12.75
castlemaine,90,IE,1547321400,100,52.17,-9.7,48.2,5.82
burnie,32,AU,1547325252,96,-41.05,145.91,64.1,15.99
gat,0,SN,1547323200,53,14.69,-16.54,73.4,8.05
havelock,90,US,1547324460,60,34.88,-76.9,44.96,10.29
mildura,0,AU,1547323200,48,-34.18,142.16,62.6,9.17
carbondale,90,US,1547324460,85,38.82,-95.69,32.0,10.29
pandamatenga,64,BW,1547325813,72,-18.54,25.64,74.59,6.93
lugovoy,88,RU,1547325813,76,59.72,65.88,7.4,13.65
